Streak length,Group
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
2,successful shuffle
1,successful shuffle
1,successful shuffle
0,successful shuffle
1,successful shuffle
0,successful shuffle
1,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
2,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
1,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
1,successful shuffle
0,successful shuffle
0,successful shuffle
1,successful shuffle
0,successful shuffle
1,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
1,successful shuffle
1,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
2,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
1,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
2,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
1,successful shuffle
2,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
2,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
0,successful shuffle
